,price,lotsize,bedrooms,bathrooms,stories,driveway,recreation,fullbase,gasheat,aircon,garage
502,68500,8100,4,1,4,yes,no,yes,no,yes,2
503,70000,6720,3,1,1,yes,no,no,no,no,0
504,70500,5948,3,1,2,yes,no,no,no,yes,0
505,71500,8150,3,2,1,yes,yes,yes,no,no,0
506,71900,4800,2,1,1,yes,yes,yes,no,no,0
507,75000,9800,4,2,2,yes,yes,no,no,no,2
508,75000,8520,3,1,1,yes,no,no,no,yes,2
509,87000,8372,3,1,3,yes,no,no,no,yes,2
510,64000,4040,3,1,2,yes,no,no,no,no,1
511,70000,4646,3,1,2,yes,yes,yes,no,no,2
512,47500,4775,4,1,2,yes,no,no,no,no,0
513,62600,4950,4,1,2,yes,no,no,no,yes,0
514,66000,5010,3,1,2,yes,no,yes,no,no,0
515,58900,6060,2,1,1,yes,no,yes,no,no,1
516,53000,3584,2,1,1,yes,no,no,yes,no,0
517,95000,6000,3,2,3,yes,yes,no,no,yes,0
518,96500,6000,4,2,4,yes,no,no,no,yes,0
519,101000,6240,4,2,2,yes,no,no,no,yes,1
520,102000,6000,3,2,2,yes,yes,no,no,no,1
521,103000,7680,4,2,4,yes,yes,no,no,yes,1
522,105000,6000,4,2,4,yes,yes,no,no,yes,1
523,108000,6000,4,2,4,yes,no,no,no,yes,1
524,110000,6000,4,2,4,yes,no,no,no,no,2
525,113000,6000,4,2,4,yes,no,no,no,yes,1
526,120000,7475,3,2,4,yes,no,no,no,yes,2
527,105000,5150,3,2,4,yes,no,no,no,yes,2
528,106000,6325,3,1,4,yes,no,no,no,yes,1
529,107500,6000,3,2,4,yes,no,no,no,yes,1
530,108000,6000,3,2,3,yes,no,no,no,yes,0
531,113750,6000,3,1,4,yes,yes,no,no,yes,2
532,120000,7000,3,1,4,yes,no,no,no,yes,2
533,70000,12900,3,1,1,yes,no,no,no,no,2
534,71000,7686,3,1,1,yes,yes,yes,yes,no,0
535,82000,5000,3,1,3,yes,no,no,no,yes,0
536,82000,5800,3,2,4,yes,no,no,no,yes,0
537,82500,6000,3,2,4,yes,no,no,no,yes,0
538,83000,4800,3,1,3,yes,no,no,no,yes,0
539,84000,6500,3,2,3,yes,no,no,no,yes,0
540,85000,7320,4,2,2,yes,no,no,no,no,0
541,85000,6525,3,2,4,yes,no,no,no,no,1
542,91500,4800,3,2,4,yes,yes,no,no,yes,0
543,94000,6000,3,2,4,yes,no,no,no,yes,0
544,103000,6000,3,2,4,yes,yes,no,no,yes,1
545,105000,6000,3,2,2,yes,yes,no,no,yes,1
546,105000,6000,3,1,2,yes,no,no,no,yes,1
